Time,Action,Status
15:00:06,connexion to MQTT Broker,OK
15:00:06,retrieve all plugs from database,OK
15:00:06,Current switch : 192.168.1.154,running ...
15:00:06,connexion to MQTT switch : 192.168.1.154,OK
15:00:06,Current switch : Prise1,running ...
15:00:06,"Current switch : 192.168.1.128,0",running ...
15:00:06,connexion to shelly switch : 192.168.1.128,OK
15:00:06,data storage for shelly switch,OK
15:00:06,"Current switch : 192.168.1.128,1",running ...
15:00:06,connexion to shelly switch : 192.168.1.128,OK
15:00:07,data storage for shelly switch,OK
15:00:07,Current switch : 192.168.1.111,running ...
15:00:07,connexion to MQTT switch : 192.168.1.111,OK
15:00:07,Current switch : eMylo1,running ...
15:00:12,connexion to Meross cloud,running ...
15:00:12,adding data for Prise1 in the database,ok
15:00:12,data for Prise1 successfully added into database,ok
15:00:12,End of execution : 5.550048828125s,OK

