Time,Action,Status
14:30:06,connexion to MQTT Broker,OK
14:30:06,retrieve all plugs from database,OK
14:30:06,Current switch : 192.168.1.154,running ...
14:30:06,connexion to MQTT switch : 192.168.1.154,OK
14:30:06,Current switch : Prise1,running ...
14:30:06,"Current switch : 192.168.1.128,0",running ...
14:30:07,connexion to shelly switch : 192.168.1.128,OK
14:30:07,data storage for shelly switch,OK
14:30:07,"Current switch : 192.168.1.128,1",running ...
14:30:08,connexion to shelly switch : 192.168.1.128,OK
14:30:08,data storage for shelly switch,OK
14:30:08,Current switch : 192.168.1.111,running ...
14:30:08,connexion to MQTT switch : 192.168.1.111,OK
14:30:08,Current switch : eMylo1,running ...
14:30:14,connexion to Meross cloud,running ...
14:30:14,adding data for Prise1 in the database,ok
14:30:14,data for Prise1 successfully added into database,ok
14:30:14,End of execution : 7.824052810668945s,OK
